#timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,av_x,av_y,av_z;
2536155994870,0,0,0,0,-0.0106510175392,-9.84527015686,-0.10091073066,0.00483989715576,-0.00129938137252,-2.68220956059E-05;
2536157969840,0.999983489513,0.00147383078001,0.00555256893858,9.92955392576E-06,-0.0268009901047,-9.84207439423,-0.089926213026,0.00263303564861,-0.00135749601759,-0.00353455613367;
2536161133960,0.999983549118,0.00147142726928,0.00554624758661,1.21371294881E-05,-0.036544136703,-9.86670398712,-0.116986364126,0.00505447434261,-0.0017628071364,-0.00193268060684;
2536163225540,0.999983608723,0.00146698055323,0.00553951459005,1.30087173602E-05,-0.0374933704734,-9.83321857452,-0.113044843078,0.00538528012112,-0.000685453298502,-0.00356137775816;
2536167317780,0.999983668327,0.00146267993841,0.00553199928254,1.90826649487E-05,-0.00960754416883,-9.83295631409,-0.0880492478609,0.00600516749546,-0.00484883692116,-0.00346749974415;
2536169146460,0.999983727932,0.00146213208791,0.00552379153669,1.83267584362E-05,-0.0153016122058,-9.83689594269,-0.0794405341148,0.00656694173813,0.000597536563873,-0.000435113935964;
2536171424490,0.999983727932,0.00146097491961,0.00551907578483,2.05838186957E-05,0.0115024605766,-9.80337238312,-0.072893537581,0.00376999401487,-0.00180602050386,-0.000935792922974;
2536173471850,0.999983727932,0.00145764858462,0.00551774632186,2.53984871961E-05,-0.0225908011198,-9.8066444397,-0.0869668200612,0.00105798256118,-0.00383853912354,-0.00268220878206;
2536177610230,0.999983727932,0.00145159754902,0.00551457284018,2.58631116594E-05,-0.0004417579039,-9.79438972473,-0.0651572272182,0.00253915786743,-0.00034868720104,-0.00484287785366;
2536179331170,0.999983727932,0.00144509947859,0.00551318563521,3.342772834E-05,-0.0244242716581,-9.78667163849,-0.0745142549276,0.00110119581223,-0.00602453947067,-0.00523179816082;
2536181092780,0.999983727932,0.00144132040441,0.00551039259881,3.68178334611E-05,-0.0124013405293,-9.79008674622,-0.0669826641679,0.00223070452921,-0.00269860029221,-0.00303834723309;
2536183814800,0.999983727932,0.00143904541619,0.00550757581368,3.97115945816E-05,-0.0414998270571,-9.80513095856,-0.055454403162,0.0022500755731,-0.00230818986893,-0.00183284317609;
2536186783330,0.999983787537,0.00143419881351,0.00550429290161,4.14789574279E-05,-0.0231064949185,-9.80587005615,-0.0294029545039,0.00413060188293,-0.00149160635192,-0.00155419122893;
2536188767050,0.999983787537,0.00143507297616,0.00550524285063,3.88789412682E-05,0.00541280955076,-9.79270362854,-0.0438756011426,-0.000756978988647,0.00207722187042,0.000710785447154;
2536190848680,0.999983847141,0.00143417087384,0.00549870962277,4.21062759415E-05,-0.00407111598179,-9.8061504364,-0.0438065156341,0.00522285699844,-0.00258535169996,-0.000736117421184;
2536192915080,0.999983847141,0.00143771537114,0.00549851823598,4.44316210633E-05,0.00552745675668,-9.80771160126,-0.0310622770339,0.000150501713506,-0.00187605619431,0.00282525992952;
2536197034180,0.999983787537,0.00143244117498,0.00550258671865,4.66588353447E-05,-0.0237204227597,-9.81802940369,-0.0557148233056,-0.00325739406981,-0.00175386690535,-0.00422894954681;
2536199161290,0.999983787537,0.00143093208317,0.00550242327154,4.89654485136E-05,-0.00931036006659,-9.80530929565,-0.0337986089289,0.000128150000819,-0.00183880340774,-0.00121742486954;
2536201182040,0.999983787537,0.00142817432061,0.00550121953711,4.94482956128E-05,-0.0223093871027,-9.84281921387,-0.0671566799283,0.00096261507133,-0.000375509262085,-0.00220835208893;
2536203220580,0.999983787537,0.00142264110036,0.00550133502111,4.92367507832E-05,-0.00955306738615,-9.83396148682,-0.0843130424619,-9.23871994019E-05,0.000193715110072,-0.00442564487457;
2536206417130,0.999983787537,0.00141623511445,0.00550774624571,5.40197579539E-05,-0.0180892683566,-9.84886169434,-0.0819992050529,-0.00513494061306,-0.00379085587338,-0.00514537189156;
2536208430790,0.999983787537,0.00141756597441,0.00550938164815,5.28449818376E-05,-0.0131747862324,-9.81123447418,-0.103696480393,-0.0013068318367,0.000935792922974,0.00106990349013;
2536211623360,0.999983787537,0.00141422904562,0.00551013601944,5.4049098253E-05,-0.00931042153388,-9.81645584106,-0.107046894729,-0.000604987319093,-0.000947713968344,-0.00267475889996;
2536213621420,0.999983787537,0.00141130294651,0.00551173416898,5.14001330885E-05,-0.00369120179676,-9.83007526398,-0.130005255342,-0.00127553951461,0.00213384628296,-0.00232905172743;
2536216838440,0.999983787537,0.0014073055936,0.00550748594105,5.33663878741E-05,-0.0211530532688,-9.82117176056,-0.15735027194,0.00339597440325,-0.00156015134417,-0.00320672942325;
2536218172080,0.999983847141,0.00140055525117,0.00550153013319,5.76923812332E-05,-0.018053708598,-9.7985162735,-0.126823276281,0.00475943041965,-0.00343769812025,-0.0054195523262;
2536222104400,0.999983847141,0.00139833427966,0.00549921439961,6.46621774649E-05,-0.0220590177923,-9.77740859985,-0.129165545106,0.00184476410504,-0.00556856393814,-0.00180751085281;
2536224259470,0.999983906746,0.00139768153895,0.00549254752696,6.64502003929E-05,-0.043123383075,-9.78268527985,-0.133264645934,0.00533163594082,-0.00143498182297,-0.000530481396709;
2536226345160,0.999983906746,0.00139771122485,0.00548974005505,6.57196651446E-05,-0.0104908961803,-9.7803478241,-0.122110754251,0.00224709510803,0.000581145344768,2.68220919679E-05;
2536228399100,0.999983906746,0.00139314960688,0.00548653770238,6.70441004331E-05,0.00491715036333,-9.79233455658,-0.118455223739,0.0025600194931,-0.00104308128357,-0.00365525507368;
