#timestamp,latitude,longitude,elevation
2.53615599487e+12,0,0,0;
2.53615796984e+12,0,0,0;
2.53616113396e+12,0,0,0;
2.53616322554e+12,0,0,0;
2.53616731778e+12,0,0,0;
2.53616914646e+12,0,0,0;
2.53617142449e+12,0,0,0;
2.53617347185e+12,0,0,0;
2.53617761023e+12,0,0,0;
2.53617933117e+12,0,0,0;
2.53618109278e+12,0,0,0;
2.5361838148e+12,0,0,0;
2.53618678333e+12,51.6025704033,-1.63915051881,144.535186768;
2.53618876705e+12,51.6025704034,-1.63915051872,144.535232544;
2.53619084868e+12,51.6025704034,-1.63915051862,144.535263062;
2.53619291508e+12,51.6025704035,-1.63915051851,144.535308838;
2.53619703418e+12,51.6025704036,-1.6391505184,144.535339355;
2.53619916129e+12,51.6025704036,-1.63915051829,144.535385132;
2.53620118204e+12,51.6025704037,-1.63915051817,144.535415649;
2.53620322058e+12,51.6025704037,-1.63915051804,144.535461426;
2.53620641713e+12,51.6025704038,-1.63915051792,144.555923462;
2.53620843079e+12,51.6025704039,-1.6391505178,144.555969238;
2.53621162336e+12,51.6025704039,-1.63915051767,144.555999756;
2.53621362142e+12,51.602570404,-1.63915051754,144.556045532;
2.53621683844e+12,51.602570404,-1.63915051742,144.55607605;
2.53621817208e+12,51.6025704041,-1.6391505173,144.556121826;
2.5362221044e+12,51.6025704041,-1.63915051718,144.556152344;
2.53622425947e+12,51.6025704042,-1.63915051707,144.55619812;
2.53622634516e+12,51.6025704042,-1.63915051695,144.554672241;
2.5362283991e+12,51.6025704043,-1.63915051684,144.554702759;
2.53623149649e+12,51.6025704043,-1.63915051672,144.554748535;
2.53623358748e+12,51.6025704044,-1.63915051661,144.554779053;
2.53623567996e+12,51.6025704045,-1.6391505165,144.554824829;
2.53623778006e+12,51.6025704045,-1.63915051638,144.554855347;
2.53624190671e+12,51.6025704046,-1.63915051626,144.554901123;
2.53624393495e+12,51.6025704046,-1.63915051614,144.554931641;
2.53624605782e+12,51.6025704047,-1.63915051601,144.553604126;
2.53624872134e+12,51.6025704047,-1.63915051588,144.553634644;
2.53625166511e+12,51.6025704048,-1.63915051574,144.55368042;
2.53625371501e+12,51.6025704048,-1.6391505156,144.553726196;
2.53625571124e+12,51.6025704048,-1.63915051545,144.553756714;
2.53625781568e+12,51.6025704049,-1.63915051529,144.55380249;
2.53626198731e+12,51.6025704049,-1.63915051513,144.553833008;
2.53626410279e+12,51.602570405,-1.63915051496,144.553878784;
2.53626613074e+12,51.602570405,-1.6391505148,144.552703857;
2.53626843958e+12,51.6025704051,-1.63915051462,144.552734375;
2.5362715004e+12,51.6025704051,-1.63915051444,144.552780151;
2.53627354341e+12,51.6025704051,-1.63915051426,144.552810669;
2.53627669046e+12,51.6025704052,-1.63915051408,144.552856445;
2.53627876587e+12,51.6025704052,-1.63915051389,144.552886963;
2.53628417806e+12,51.6025704053,-1.6391505137,144.552932739;
2.5362859179e+12,51.6025704053,-1.63915051351,144.552963257;
2.5362878465e+12,51.6025704053,-1.63915051333,144.5519104;
2.53628978903e+12,51.6025704054,-1.63915051314,144.551956177;
2.53629178036e+12,51.6025704054,-1.63915051295,144.551986694;
2.5362938565e+12,51.6025704055,-1.63915051277,144.552032471;
2.5362959071e+12,51.6025704055,-1.63915051259,144.552062988;
2.53629796187e+12,51.6025704055,-1.63915051241,144.552108765;
2.53630222701e+12,51.6025704056,-1.63915051224,144.552139282;
2.5363041934e+12,51.6025704056,-1.63915051206,144.552185059;
2.53630624527e+12,51.6025704056,-1.63915051189,144.58026123;
2.53630840684e+12,51.6025704057,-1.63915051172,144.580307007;
2.53631149443e+12,51.6025704057,-1.63915051155,144.580337524;
2.53631363754e+12,51.6025704057,-1.63915051138,144.580383301;
2.53631562981e+12,51.6025704058,-1.63915051121,144.580413818;
2.53631767119e+12,51.6025704058,-1.63915051103,144.580459595;
2.53632186255e+12,51.6025704059,-1.63915051085,144.580505371;
2.53632387244e+12,51.6025704059,-1.63915051066,144.580535889;
2.53632592899e+12,51.6025704059,-1.63915051046,144.578109741;
2.53632803841e+12,51.602570406,-1.63915051025,144.578140259;
2.53633217799e+12,51.602570406,-1.63915051005,144.578186035;
2.53633437722e+12,51.602570406,-1.63915050983,144.578231812;
2.53633631038e+12,51.6025704061,-1.63915050962,144.578262329;
2.53633840856e+12,51.6025704061,-1.6391505094,144.578308105;
2.5363414934e+12,51.6025704061,-1.63915050918,144.578338623;
2.53634364459e+12,51.6025704062,-1.63915050896,144.578384399;
2.53634573823e+12,51.6025704062,-1.63915050874,144.576187134;
2.53634914863e+12,51.6025704063,-1.63915050852,144.57623291;
2.53635206465e+12,51.6025704063,-1.6391505083,144.576278687;
2.53635426832e+12,51.6025704063,-1.63915050808,144.576309204;
2.53635633851e+12,51.6025704064,-1.63915050785,144.57635498;
2.53635839869e+12,51.6025704064,-1.63915050763,144.576400757;
2.53636282062e+12,51.6025704064,-1.63915050742,144.576431274;
2.53636327933e+12,51.6025704065,-1.6391505072,144.576477051;
2.53636639185e+12,51.6025704065,-1.639150507,144.58694458;
2.53636855285e+12,51.6025704066,-1.63915050679,144.586990356;
2.53637193382e+12,51.6025704066,-1.63915050659,144.587020874;
2.53637377427e+12,51.6025704066,-1.6391505064,144.58706665;
2.5363758091e+12,51.6025704067,-1.63915050619,144.587112427;
2.53637786741e+12,51.6025704067,-1.639150506,144.587142944;
2.53638156075e+12,51.6025704067,-1.6391505058,144.587188721;
2.53638357077e+12,51.6025704068,-1.6391505056,144.587234497;
